year,Movie_name,Movie_url,Plot_summary,Diretor_name,Director_image_url,critic_score,actor1_name,actor1_image_url,actor2_name,actor2_image_url,actor3_name,actor3_image_url,actor4_name,actor4_image_url
2011,The Lincoln Lawyer,http://www.imdb.com/title/tt1189340/?ref_=fn_tt_tt_1,"Mick Haller is a defense lawyer who works out of his Lincoln. When a wealthy Realtor is accused of assaulting a prostitute, Haller is asked to defend him. The man claims that the woman is ...",Brad Furman,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE2NjQ4MTcyOV5BMl5BanBnXkFtZTcwMjI5NzkxMg@@._V1_UY317_CR133,0,214,317_AL_.jpg",63,Matthew McConaughey,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg0MDc3ODUwOV5BMl5BanBnXkFtZTcwMTk2NjY4Nw@@._V1_UX214_CR0,0,214,317_AL_.jpg",Marisa Tomei,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUwMjA3OTc3N15BMl5BanBnXkFtZTcwNTA1MzY1Mw@@._V1_UY317_CR12,0,214,317_AL_.jpg",Ryan Phillippe,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4NDk4ODg3MV5BMl5BanBnXkFtZTcwMzQyMjY5Ng@@._V1_UX214_CR0,0,214,317_AL_.jpg",William H. Macy,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjIzOTk5MTAzNV5BMl5BanBnXkFtZTcwNTk0MzMyNw@@._V1_UY317_CR8,0,214,317_AL_.jpg"
2011,Unknown,http://www.imdb.com/title/tt1401152/?ref_=fn_tt_tt_1,"A man awakens from a coma, only to discover that someone has taken on his identity and that no one, (not even his wife), believes him. With the help of a young woman, he sets out to prove who he is.",Jaume Collet-Serra,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3OTk0MTk2M15BMl5BanBnXkFtZTcwMjE1MjA1NA@@._V1_UY317_CR2,0,214,317_AL_.jpg",56,Liam Neeson,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA1MTQ3NzU1MV5BMl5BanBnXkFtZTgwMDE3Mjg0MzE@._V1_UY317_CR52,0,214,317_AL_.jpg",Diane Kruger,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM3MzY0Nzk2Ml5BMl5BanBnXkFtZTcwODQ0MTMyMw@@._V1_UY317_CR1,0,214,317_AL_.jpg",January Jones,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgyODE1Mjg4NF5BMl5BanBnXkFtZTcwMTE5MjQ1Nw@@._V1_UY317_CR21,0,214,317_AL_.jpg",Aidan Quinn,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTYwNTI3NzI5OV5BMl5BanBnXkFtZTcwMDE1NTk0NA@@._V1_UY317_CR4,0,214,317_AL_.jpg"
2011,Paul,http://www.imdb.com/title/tt1092026/?ref_=fn_tt_tt_1,Two British comic-book geeks traveling across the U.S. encounter an alien outside Area 51.,Greg Mottola,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE1ODc5MzA1MF5BMl5BanBnXkFtZTcwNjY5OTA0Mg@@._V1_UY317_CR6,0,214,317_AL_.jpg",57,Mia Stallard,https://www.ucl.ac.uk/chemeng/people/professional_services/no-photo,Simon Pegg,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzMwODE1NjA3OV5BMl5BanBnXkFtZTgwNTY5MzM2OTE@._V1_UX214_CR0,0,214,317_AL_.jpg",Nick Frost,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg3Mjg1MzU0M15BMl5BanBnXkFtZTcwNTM1MTE2MQ@@._V1_UY317_CR20,0,214,317_AL_.jpg",Jeremy Owen,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ1MTQ4MzUxNV5BMl5BanBnXkFtZTgwODkzMTc3MTE@._V1_UY317_CR20,0,214,317_AL_.jpg"
2011,Scream 4,http://www.imdb.com/title/tt1262416/?ref_=fn_tt_tt_1,"Ten years have passed, and Sidney Prescott, who has put herself back together thanks in part to her writing, is visited by the Ghostface Killer.",Wes Craven,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjEyNzIwNDcwNl5BMl5BanBnXkFtZTcwNTQ1NTI5NA@@._V1_UX214_CR0,0,214,317_AL_.jpg",52,Lucy Hale,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA0MDU5Njg4N15BMl5BanBnXkFtZTgwMzQ5NDAzNzE@._V1_UX214_CR0,0,214,317_AL_.jpg",Roger Jackson,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjI1NjM0NTc5MF5BMl5BanBnXkFtZTgwNjEyNDA0ODE@._V1_UY317_CR31,0,214,317_AL_.jpg",Shenae Grimes-Beech,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk0MDYxNzc1NF5BMl5BanBnXkFtZTcwMTU2OTM3Mw@@._V1_UY317_CR18,0,214,317_AL_.jpg",Dane Farwell,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTg3NjY2NDgxMV5BMl5BanBnXkFtZTcwNDM1MTMwOA@@._V1_UX214_CR0,0,214,317_AL_.jpg"
2011,Final Destination 5,http://www.imdb.com/title/tt1622979/?ref_=fn_tt_tt_1,Survivors of a suspension-bridge collapse learn there's no way you can cheat Death.,Steven Quale,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTUzODUwNDg0Nl5BMl5BanBnXkFtZTcwNjg4NzcyNg@@._V1_UY317_CR22,0,214,317_AL_.jpg",50,Nicholas D'Agosto,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTA2NTEwMjI2ODZeQTJeQWpwZ15BbWU3MDY3NDAxMTc@._V1_UX214_CR0,0,214,317_AL_.jpg",Emma Bell,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI0MTY5NTU3M15BMl5BanBnXkFtZTcwNzA2NDIzMQ@@._V1_UX214_CR0,0,214,317_AL_.jpg",Miles Fisher,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTk2NDA4MzA5Nl5BMl5BanBnXkFtZTgwOTA3NzcwOTE@._V1_UY317_CR130,0,214,317_AL_.jpg",Ellen Wroe,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTgyMjEzNDk4NV5BMl5BanBnXkFtZTgwMDIwMzI0ODE@._V1_UX214_CR0,0,214,317_AL_.jpg"
2011,Extremely Loud & Incredibly Close,http://www.imdb.com/title/tt0477302/?ref_=fn_tt_tt_1,"A nine-year-old amateur inventor, Francophile, and pacifist searches New York City for the lock that matches a mysterious key left behind by his father, who died in the World Trade Center on September 11, 2001.",Stephen Daldry,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM5MzU3NzI5MF5BMl5BanBnXkFtZTcwOTc4OTI2Mg@@._V1_UY317_CR12,0,214,317_AL_.jpg",46,Tom Hanks,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ2MjMwNDA3Nl5BMl5BanBnXkFtZTcwMTA2NDY3NQ@@._V1_UY317_CR2,0,214,317_AL_.jpg",Thomas Horn,"https://images-na.ssl-images-amazon.com/images/M/MV5BODk5NTc4NDcyNV5BMl5BanBnXkFtZTcwNTc5OTMxNw@@._V1_UY317_CR7,0,214,317_AL_.jpg",Sandra Bullock,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI5NDY5NjU3NF5BMl5BanBnXkFtZTcwMzQ0MTMyMw@@._V1_UY317_CR1,0,214,317_AL_.jpg",Zoe Caldwell,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTA1ODc5NDg3ODVeQTJeQWpwZ15BbWU3MDA1MjQ0MTc@._V1_UY317_CR131,0,214,317_AL_.jpg"
2011,Colombiana,http://www.imdb.com/title/tt1657507/?ref_=fn_tt_tt_1,"A young woman, after witnessing her parents' murder as a child in Bogota, grows up to be a stone-cold assassin.",Olivier Megaton,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY2ODcyNDU1NV5BMl5BanBnXkFtZTcwNDkyMTEyOA@@._V1_UX214_CR0,0,214,317_AL_.jpg",45,Zoe Saldana,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4NDk1NTA1OV5BMl5BanBnXkFtZTcwMTIzMjQ4Ng@@._V1_UY317_CR8,0,214,317_AL_.jpg",Jordi Mollﾕ_,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE5NTI2MzY3M15BMl5BanBnXkFtZTcwMDkyOTk1Mw@@._V1_UX214_CR0,0,214,317_AL_.jpg",Lennie James,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE0MzQ1MDEyMF5BMl5BanBnXkFtZTcwNjcwMDIyOQ@@._V1_UX214_CR0,0,214,317_AL_.jpg",Amandla Stenberg,"https://images-na.ssl-images-amazon.com/images/M/MV5BNmQxM2MzYzktZDQwOC00OWFkLWJmNjEtMTcwZGJmOWMxNTRmXkEyXkFqcGdeQXVyMjM0NjMyODE@._V1_UY317_CR9,0,214,317_AL_.jpg"
2011,A Monster in Paris,http://www.imdb.com/title/tt0961097/?ref_=fn_tt_tt_1,"A 3D-animated movie set in Paris in the year 1910 and centered on a monster who lives in a garden and his love for a beautiful, young singer.",Bibo Bergeron,https://www.ucl.ac.uk/chemeng/people/professional_services/no-photo,No score,Matthieu Chedid,https://www.ucl.ac.uk/chemeng/people/professional_services/no-photo,Vanessa Paradis,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjAyMzY2MjMwNV5BMl5BanBnXkFtZTcwNTYzMzEzNw@@._V1_UX214_CR0,0,214,317_AL_.jpg",Gad Elmaleh,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTMyMDE0MzMzNV5BMl5BanBnXkFtZTcwNjk3NjM4NA@@._V1_UY317_CR131,0,214,317_AL_.jpg",Franﾕ_ois Cluzet,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTkyNjcyNjE0Nl5BMl5BanBnXkFtZTcwMTY5NTc1NA@@._V1_UX214_CR0,0,214,317_AL_.jpg"
2011,Water for Elephants,http://www.imdb.com/title/tt1067583/?ref_=fn_tt_tt_1,"Set in the 1930s, a former veterinary student takes a job in a traveling circus and falls in love with the ringmaster's wife.",Francis Lawrence,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTI4Mjc4MTMzNF5BMl5BanBnXkFtZTYwNjkzNzc4._V1_UY317_CR101,0,214,317_AL_.jpg",52,Reese Witherspoon,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTc3MDcxMDA5Ml5BMl5BanBnXkFtZTgwNDM1NTU5MDE@._V1_UY317_CR1,0,214,317_AL_.jpg",Robert Pattinson,"https://images-na.ssl-images-amazon.com/images/M/MV5BNzk0MDQ5OTUxMV5BMl5BanBnXkFtZTcwMDM5ODk5Mg@@._V1_UY317_CR12,0,214,317_AL_.jpg",Christoph Waltz,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTM4MDk3OTYxOF5BMl5BanBnXkFtZTcwMDk5OTUwOQ@@._V1_UY317_CR9,0,214,317_AL_.jpg",Paul Schneider,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE1MjczMTcxNF5BMl5BanBnXkFtZTcwMjkzOTQyNQ@@._V1_UY317_CR11,0,214,317_AL_.jpg"
2011,Dolphin Tale,http://www.imdb.com/title/tt1564349/?ref_=fn_tt_tt_1,A story centered on the friendship between a boy and a dolphin whose tail was lost in a crab trap.,Charles Martin Smith,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjE4NDMxMDk2M15BMl5BanBnXkFtZTcwMzcxODYzMw@@._V1_UY317_CR130,0,214,317_AL_.jpg",64,Harry Connick Jr.,"https://images-na.ssl-images-amazon.com/images/M/MV5BMjMwNjg0MTExOF5BMl5BanBnXkFtZTgwMTg4MTcxMDE@._V1_UY317_CR28,0,214,317_AL_.jpg",Ashley Judd,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTY3Mzg0ODcwOF5BMl5BanBnXkFtZTYwMzA2NDQz._V1_UX214_CR0,0,214,317_AL_.jpg",Nathan Gamble,"https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4NzI4MjgwMF5BMl5BanBnXkFtZTgwNzU0MjA1MjE@._V1_UY317_CR131,0,214,317_AL_.jpg",Kris Kristofferson,"https://images-na.ssl-images-amazon.com/images/M/MV5BODM4NDY5MTYyMl5BMl5BanBnXkFtZTYwNjg1ODE2._V1_UX214_CR0,0,214,317_AL_.jpg"
